,Year,Host,Winning Team,Captain,Head coach
0,1930,Uruguay,Uruguay,José Nasazzi,Alberto Suppici
1,1934,Italy,Italy,Giampiero Combi,Vittorio Pozzo
2,1938,France,Italy,Giuseppe Meazza,Vittorio Pozzo
3,1950,Brazil,Uruguay,Obdulio Varela,Juan López Fontana
4,1954,Switzerland,West Germany,Fritz Walter,Sepp Herberger
5,1958,Sweden,Brazil,Hilderaldo Bellini,Vicente Feola
6,1962,Chile,Brazil,Mauro Ramos,Aymoré Moreira
7,1966,England,England,Bobby Moore,Alf Ramsey
8,1970,Mexico,Brazil,Carlos Alberto Torres,Mário Zagallo
9,1974,West Germany,West Germany,Franz Beckenbauer,Helmut Schön
10,1978,Argentina,Argentina,Daniel Passarella,César Luis Menotti
11,1982,Spain,Italy,Dino Zoff,Enzo Bearzot
12,1986,Mexico,Argentina,Diego Maradona,Carlos Bilardo
13,1990,Italy,West Germany,Lothar Matthäus,Franz Beckenbauer
14,1994,United States,Brazil,Dunga,Carlos Alberto Parreira
15,1998,France,France,Didier Deschamps,Aimé Jacquet
16,2002,South Korea Japan,Brazil,Cafu,Luiz Felipe Scolari
17,2006,Germany,Italy,Fabio Cannavaro,Marcello Lippi
18,2010,South Africa,Spain,Iker Casillas,Vicente del Bosque
19,2014,Brazil,Germany,Philipp Lahm,Joachim Löw
20,2018,Russia,France,Hugo Lloris,Didier Deschamps
